"﻿Session start","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Session end","Session source"
"2019-07-10 23:11",1,5,5,5,4,5,1,2,1,2,"2019-07-10 23:12",kiosk
"2019-07-10 23:13",1,,,,,,,,,,"2019-07-10 23:13",kiosk
"2019-07-11 00:18",1,5,5,5,4,4,1,1,2,3,"2019-07-11 00:20",kiosk
"2019-07-11 00:26",1,3,2,4,2,4,2,2,2,5,"2019-07-11 00:27",kiosk
"2019-07-11 00:26",1,4,4,4,3,3,1,2,4,4,"2019-07-11 00:27",kiosk
"2019-07-11 00:28",1,4,5,4,2,4,1,1,3,5,"2019-07-11 00:29",kiosk
"2019-07-11 02:13",1,5,5,5,5,5,1,2,2,6,"2019-07-11 02:14",kiosk
"2019-07-11 02:14",1,4,4,5,5,4,1,2,2,3,"2019-07-11 02:15",kiosk
"2019-07-11 02:15",1,5,4,5,4,5,1,1,2,3,"2019-07-11 02:17",kiosk
"2019-07-11 02:15",1,5,4,5,4,5,1,1,2,3,"2019-07-11 02:30",kiosk
"2019-07-11 02:13",1,5,5,5,5,5,1,2,2,6,"2019-07-11 02:48",kiosk
"2019-07-11 02:13",1,5,5,5,5,5,1,2,2,6,"2019-07-11 05:20",kiosk
"2019-07-11 22:26",1,3,3,2,3,2,1,2,3,4,"2019-07-11 22:27",kiosk
"2019-07-11 22:26",1,4,4,3,4,3,1,3,2,6,"2019-07-11 22:28",kiosk
"2019-07-11 22:30",1,4,4,4,3,3,2,2,3,5,"2019-07-11 22:31",kiosk
"2019-07-11 22:31",1,4,4,4,3,3,1,1,2,2,"2019-07-11 22:32",kiosk
"2019-07-11 22:29",1,5,4,4,3,4,,,,,"2019-07-11 22:34",kiosk
"2019-07-11 23:03",1,4,4,4,4,5,1,2,1,3,"2019-07-11 23:04",kiosk
"2019-07-11 23:06",1,5,5,4,4,5,1,3,4,2,"2019-07-11 23:07",kiosk
"2019-07-11 23:10",1,4,5,5,3,5,1,1,2,4,"2019-07-11 23:11",kiosk
"2019-07-11 22:29",1,5,4,4,3,4,,,,,"2019-07-11 23:12",kiosk
"2019-07-11 23:14",1,5,5,4,4,4,1,1,3,2,"2019-07-11 23:15",kiosk
"2019-07-12 00:24",1,4,4,4,3,3,1,2,2,4,"2019-07-12 00:25",kiosk
"2019-07-12 00:25",1,4,4,5,2,2,1,3,2,6,"2019-07-12 00:25",kiosk
"2019-07-12 00:27",2,4,5,5,4,3,2,2,1,3,"2019-07-12 00:28",kiosk
"2019-07-24 22:40",1,4,4,4,3,4,1,1,4,4,"2019-07-24 22:42",kiosk
"2019-07-25 05:03",3,5,5,4,4,4,1,2,3,1,"2019-07-25 05:04",kiosk
