Session start,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Session end,Session source
2019-06-10 17:23,1,2,1,3,3,1,2,3,1,2019-06-10 17:24,kiosk
2019-06-10 19:24,1,2,1,1,1,1,4,1,3,2019-06-10 19:27,kiosk
2019-06-10 19:24,1,2,1,1,1,1,4,1,3,2019-06-10 19:29,kiosk
2019-06-11 09:00,3,3,3,3,3,3,3,3,4,2019-06-11 09:01,kiosk
2019-06-11 09:01,3,1,3,4,1,2,4,1,4,2019-06-11 09:03,kiosk
2019-06-11 09:03,3,1,3,,,,,,,2019-06-11 09:05,kiosk
2019-06-11 09:32,2,2,3,3,2,3,2,2,2,2019-06-11 09:33,kiosk
2019-06-11 09:51,1,1,2,1,1,4,4,1,4,2019-06-11 09:53,kiosk
2019-06-11 09:51,3,2,3,2,3,2,2,3,4,2019-06-11 09:53,kiosk
2019-06-11 10:08,4,2,3,4,4,3,3,2,2,2019-06-11 10:10,kiosk
2019-06-11 10:47,3,2,2,2,2,4,2,1,4,2019-06-11 10:48,kiosk
2019-06-11 10:47,3,2,2,2,2,4,2,1,4,2019-06-11 13:27,kiosk
2019-06-11 13:59,3,2,3,2,1,3,3,1,4,2019-06-11 14:02,kiosk
2019-06-11 14:03,3,1,2,1,1,4,3,1,4,2019-06-11 14:04,kiosk
2019-06-11 14:38,3,2,3,3,3,4,3,2,4,2019-06-11 14:40,kiosk
2019-06-11 14:47,3,2,2,3,2,2,2,2,4,2019-06-11 14:48,kiosk
2019-06-11 15:43,4,1,3,3,2,3,1,1,4,2019-06-11 15:44,kiosk
